Id,Prediction
0,4073161.575996438
1,3425738.2409581365
2,3125916.1749956803
3,3224867.157640762
4,3695683.223384679
5,4036328.1338132243
6,3764750.9215685646
7,2942911.205063956
8,4581515.195728824
9,3731778.52036301
10,4450710.016119951
11,3670001.480944469
12,4457531.279869605
13,4127494.3574343016
14,3689156.465765909
15,3617247.2441091905
16,4892566.711419325
17,3732240.021583613
18,4477725.426606421
19,3303337.5258915476
20,2057038.5707672015
21,4269358.424790867
22,3892651.3294994365
23,7331215.445691179
24,4204622.709829027
25,3798326.0404594587
26,3012085.7640960133
27,4876398.494889576
28,3214226.4126356626
29,4730911.155788992
30,2992454.9837759943
31,2720029.7293376243
32,2393672.5216256585
33,4721983.059496613
34,2265877.857536938
35,4073070.7074553343
36,3497911.011214387
37,4091497.397727767
38,3212324.8519740743
39,3156162.8392882072
40,4981880.286052362
41,4288363.555001916
42,4040238.7860808624
43,5666210.249336295
44,5341396.176024172
45,3630179.7104995865
46,3117477.4591962625
47,2026508.266541106
48,4844242.585059309
49,3809969.674321926
50,5336293.443605458
51,3305382.853668694
52,5392550.97778731
53,2626245.2478391533
54,3311519.3343622778
55,4091762.0326712546
56,5325519.516413583
57,3413360.8070639134
58,4222697.246075366
59,5150853.367108157
60,2267534.4147351324
61,3846838.3501311364
62,4266049.605010747
63,4116478.8753587063
64,4290673.882161991
65,6338948.434220603
66,4745339.251065534
67,5371481.792244188
68,4163064.3645167807
69,4586337.9584319135
70,3141251.4484888595
71,2138596.5940907425
72,4457033.535039488
73,3272236.7095326423
74,4841086.379491417
75,4987607.4586587865
76,4721305.131602763
77,3977732.878066999
78,4516899.1072401
79,4383867.172646347
80,6623178.321902525
81,4270894.408019509
82,3828288.1097050263
83,4468301.470607447
84,5915180.210650028
85,1853565.946908951
86,3972074.0614030794
87,4138344.2731343736
88,4167700.513855015
89,3448739.7696289397
90,4232239.141398203
91,4433345.454803618
92,3138455.222202943
93,3132728.6043365593
94,7447071.904230772
95,2531417.764676853
96,4162983.796168404
97,4212627.385160401
98,3379947.427424287
99,3872416.5367986327
100,3855473.31849299
101,2777611.934325375
102,3570030.0788234854
103,3193505.723826862
104,4369695.150292627
105,3161766.0260169776
106,4333040.373346717
107,4356408.373952293
108,5327387.054828398
109,4069488.7327482314
110,6586172.122286558
111,3306899.832158795
112,3955293.11501018
113,3795015.185471032
114,3805834.9170195274
115,4721156.7596229045
116,3497558.0226964047
