datetime,count
2015-01-01,6967 
2015-02-01,5272 
2015-03-01,7949 
2015-04-01,8667 
2015-05-01,9951 
2015-06-01,6928 
2015-07-01,8810 
2015-08-01,8260 
2015-09-01,6162 
2015-10-01,7200 
2015-11-01,4622 
2015-12-01,4129 
2016-01-01,5681 
2016-02-01,5388 
2016-03-01,7269 
2016-04-01,8753 
2016-05-01,9002 
2016-06-01,8752 
2016-07-01,9427 
2016-08-01,7663 
2016-09-01,7137 
2016-10-01,6751 
2016-11-01,5181 
2016-12-01,5627 
2017-01-01,6827 
2017-02-01,6469 
2017-03-01,9836 
2017-04-01,11472 
2017-05-01,10992 
2017-06-01,10279 
2017-07-01,9961 
2017-08-01,8785 
2017-09-01,9626 
2017-10-01,8901 
2017-11-01,5643 
2017-12-01,5718 
2018-01-01,7391 
2018-02-01,5979 
2018-03-01,8869 
2018-04-01,11450 
2018-05-01,12609 
2018-06-01,10733 
2018-07-01,10569 
2018-08-01,10083 
2018-09-01,8494 
2018-10-01,9240 
2018-11-01,6321 
2018-12-01,6246 
