DATETIME,평균여행기간,LAR,LARPLUS,GEN,평균허수,총합허수,최대허수,최소허수,평균최대출발인원,SUM최대출인원,평균최소출발인,SUM최소출발인,성인평균상품가,아동평균상품가,유아평균상품가,사용행사개수,사용마스터개수,출발확정개수,총쇼핑횟수,평균쇼핑횟수,총선택관광횟수,평균선택관광횟수,KE,OZ,AY,AZ,EK,TK,LH,AF,BA,EY,QR,SU,ZE,TW,KA,BX,KL,R3,AR,CX,OK,LO,CA,HY,VN,SQ,JE,OS,DB,국적기,저가항공,외항사,출발자수
2015-01-01,9,3,13,117,3,487,30,0,0,4,18,2475,2049947,2022348,426360,133,118,16,292,3,109,4,31,32,16,0,3,7,6,1,1,2,12,5,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,63,0,70,321
2015-01-02,9,3,2,87,3,314,27,-1,0,65,18,1745,2081217,2012032,436329,92,84,12,212,3,76,4,26,23,9,0,6,2,8,1,0,2,7,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,49,0,43,271
2015-01-03,8,1,5,94,3,301,14,-1,0,38,18,1870,1823990,1778535,389533,100,90,11,226,3,101,4,21,27,4,0,7,10,1,1,0,1,16,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,48,0,52,315
2015-01-04,9,3,3,93,4,400,24,0,0,36,19,1935,1855030,1816173,412901,99,89,16,192,3,74,3,17,27,12,1,3,6,8,1,0,0,6,2,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,1,0,44,0,55,271
2015-01-05,10,4,6,58,3,208,20,0,1,110,18,1253,2349852,2262507,490189,68,64,5,129,3,27,3,25,16,5,0,2,2,8,1,0,0,4,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,41,0,27,109
2015-01-06,9,3,7,85,2,259,17,0,0,26,19,1810,1950578,1905904,448534,95,85,6,224,3,67,3,26,25,1,0,3,1,9,1,0,1,13,3,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,51,0,44,190
2015-01-07,9,5,10,76,3,292,22,0,2,192,18,1638,2211087,2114200,455255,91,84,12,157,3,56,4,41,10,5,0,7,4,3,1,2,1,6,6,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,51,0,40,236
2015-01-08,9,3,15,113,2,358,15,-2,0,4,18,2440,2010312,1981907,431866,131,117,10,291,3,109,4,34,29,19,0,3,7,6,1,1,2,8,5,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,63,0,68,275
2015-01-09,9,3,1,81,3,273,26,0,1,142,19,1615,1981176,1903916,427530,85,78,7,213,4,98,4,21,23,8,0,7,5,7,1,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44,0,41,189
2015-01-10,8,1,5,99,3,346,22,0,0,55,18,1965,1791028,1746413,390962,105,95,12,230,3,97,4,21,28,3,0,7,10,1,1,0,1,16,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,49,0,56,332
2015-01-11,9,3,3,92,4,460,35,-1,0,4,19,1910,1758755,1720453,402916,98,87,11,189,3,70,4,17,28,12,0,3,6,8,1,0,0,6,1,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,1,1,45,0,53,170
2015-01-12,10,3,6,63,3,240,20,0,1,141,18,1338,2243055,2164887,467007,72,69,9,145,3,44,4,24,15,5,0,3,2,6,1,0,0,10,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,39,0,33,179
2015-01-13,9,3,8,83,2,281,27,-2,0,0,18,1785,1887489,1833086,451761,94,85,9,205,3,67,3,26,23,1,0,4,1,8,1,0,1,15,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,49,0,45,214
2015-01-14,9,6,10,76,3,314,32,-17,1,156,18,1668,2176065,2073175,453093,92,84,7,145,3,53,4,36,12,7,0,7,4,3,1,2,1,8,5,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,48,0,44,153
2015-01-15,9,3,15,115,3,458,24,-4,0,58,18,2440,1962218,1924151,424764,133,118,15,285,3,117,4,31,29,16,0,8,7,5,1,1,2,11,6,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,60,0,73,343
2015-01-16,9,3,2,73,3,270,18,-1,1,110,18,1460,2004730,1924896,416855,78,74,9,155,3,78,4,27,21,6,0,5,2,2,1,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,48,0,30,269
2015-01-17,8,1,5,100,3,393,21,0,0,-1,18,1990,1751773,1714152,377367,106,93,16,222,3,98,4,19,27,6,0,9,9,1,1,1,1,14,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,46,0,60,408
2015-01-18,9,3,3,93,4,421,24,0,0,38,19,1925,1765191,1722765,404112,99,88,12,182,3,73,4,15,30,13,1,3,6,7,1,0,0,5,2,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,1,1,45,0,54,191
2015-01-19,10,3,6,60,2,170,27,0,1,110,18,1278,2233173,2152000,470873,69,68,7,132,3,27,3,24,15,5,0,3,2,6,1,0,1,8,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,39,0,30,187
2015-01-20,9,3,10,92,2,311,21,-10,0,54,18,1990,1820761,1770528,440836,105,92,8,224,3,68,3,28,26,3,0,5,1,9,1,0,1,15,5,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,54,0,51,278
