datetime,정답,예측
2019-01-01,147,133
2019-01-02,284,271
2019-01-03,238,194
2019-01-04,222,221
2019-01-05,231,200
2019-01-06,302,231
2019-01-07,218,178
2019-01-08,261,185
2019-01-09,324,175
2019-01-10,278,203
2019-01-11,474,324
2019-01-12,254,174
2019-01-13,440,264
2019-01-14,233,190
2019-01-15,324,181
2019-01-16,474,353
2019-01-17,225,152
2019-01-18,469,349
2019-01-19,364,277
2019-01-20,391,182
2019-01-21,314,170
2019-01-22,269,196
2019-01-23,239,203
2019-01-24,138,111
2019-01-25,264,180
2019-01-26,160,146
2019-01-27,203,171
2019-01-28,276,261
2019-01-29,332,188
2019-01-30,502,396
2019-01-31,383,279
2019-02-01,493,399
2019-02-02,425,383
2019-02-03,275,146
2019-02-04,267,238
2019-02-05,142,123
2019-02-06,362,305
2019-02-07,207,140
2019-02-08,318,214
2019-02-09,275,177
2019-02-10,216,159
2019-02-11,226,195
2019-02-12,198,147
2019-02-13,204,209
2019-02-14,214,166
2019-02-15,403,269
2019-02-16,352,186
2019-02-17,290,169
2019-02-18,244,185
2019-02-19,260,198
2019-02-20,249,256
2019-02-21,223,195
2019-02-22,263,214
2019-02-23,213,175
2019-02-24,297,204
2019-02-25,174,152
2019-02-26,200,135
2019-02-27,191,216
2019-02-28,253,163
2019-03-01,318,233
2019-03-02,186,158
2019-03-03,161,131
2019-03-04,212,149
2019-03-05,229,177
2019-03-06,311,291
2019-03-07,267,154
2019-03-08,375,259
2019-03-09,190,173
2019-03-10,343,230
2019-03-11,204,183
2019-03-12,488,235
2019-03-13,315,326
2019-03-14,311,143
2019-03-15,456,310
2019-03-16,338,285
2019-03-17,249,160
2019-03-18,343,356
2019-03-19,232,200
2019-03-20,267,330
2019-03-21,350,209
2019-03-22,473,318
2019-03-23,258,206
2019-03-24,334,257
2019-03-25,221,223
2019-03-26,308,175
2019-03-27,518,384
2019-03-28,289,169
2019-03-29,590,343
2019-03-30,307,249
2019-03-31,401,272
2019-04-01,209,234
2019-04-02,401,281
2019-04-03,357,334
2019-04-04,428,340
2019-04-05,424,302
2019-04-06,173,220
2019-04-07,250,197
2019-04-08,237,317
2019-04-09,405,279
2019-04-10,444,345
2019-04-11,354,228
2019-04-12,507,433
2019-04-13,279,230
2019-04-14,409,263
2019-04-15,205,209
2019-04-16,379,261
2019-04-17,415,326
2019-04-18,420,322
2019-04-19,473,422
2019-04-20,457,409
2019-04-21,283,228
2019-04-22,270,265
2019-04-23,415,340
2019-04-24,339,413
2019-04-25,485,333
2019-04-26,460,409
2019-04-27,314,305
2019-04-28,321,239
2019-04-29,255,411
2019-04-30,381,300
2019-05-01,252,357
2019-05-02,330,377
2019-05-03,471,447
2019-05-04,438,406
2019-05-05,437,263
2019-05-06,190,239
2019-05-07,582,342
2019-05-08,279,379
2019-05-09,519,328
2019-05-10,625,517
2019-05-11,397,372
2019-05-12,467,365
2019-05-13,246,207
2019-05-14,578,387
2019-05-15,358,467
2019-05-16,489,351
2019-05-17,596,453
2019-05-18,459,426
2019-05-19,475,300
2019-05-20,268,280
2019-05-21,486,454
2019-05-22,372,445
2019-05-23,456,443
2019-05-24,450,414
2019-05-25,502,436
2019-05-26,390,239
2019-05-27,260,202
2019-05-28,583,552
2019-05-29,281,357
2019-05-30,505,359
2019-05-31,663,445
2019-06-01,395,341
2019-06-02,506,350
2019-06-03,242,193
2019-06-04,368,248
2019-06-05,441,370
2019-06-06,426,375
2019-06-07,514,382
2019-06-08,248,356
2019-06-09,296,269
2019-06-10,277,268
2019-06-11,505,432
2019-06-12,267,393
2019-06-13,260,240
2019-06-14,284,333
2019-06-15,431,455
2019-06-16,212,179
2019-06-17,142,172
2019-06-18,355,392
2019-06-19,256,368
2019-06-20,311,318
2019-06-21,390,376
2019-06-22,382,385
2019-06-23,203,180
2019-06-24,121,169
2019-06-25,398,354
2019-06-26,335,358
2019-06-27,250,260
2019-06-28,502,369
2019-06-29,417,382
2019-06-30,299,217
2019-07-01,159,128
2019-07-02,238,238
2019-07-03,197,391
2019-07-04,260,279
2019-07-05,254,287
2019-07-06,361,408
2019-07-07,218,215
2019-07-08,150,181
2019-07-09,179,286
2019-07-10,226,360
2019-07-11,258,222
2019-07-12,219,305
2019-07-13,389,415
2019-07-14,326,236
2019-07-15,120,178
2019-07-16,250,322
2019-07-17,203,304
2019-07-18,315,270
2019-07-19,291,365
2019-07-20,549,437
2019-07-21,452,249
2019-07-22,206,220
2019-07-23,428,424
2019-07-24,244,371
2019-07-25,366,388
