datetime,count
2015-01-01,321
2015-01-02,271
2015-01-03,315
2015-01-04,271
2015-01-05,109
2015-01-06,190
2015-01-07,236
2015-01-08,275
2015-01-09,189
2015-01-10,332
2015-01-11,170
2015-01-12,179
2015-01-13,214
2015-01-14,153
2015-01-15,343
2015-01-16,269
2015-01-17,408
2015-01-18,191
2015-01-19,187
2015-01-20,278
2015-01-21,275
2015-01-22,184
2015-01-23,129
2015-01-24,345
2015-01-25,120
2015-01-26,185
2015-01-27,188
2015-01-28,123
2015-01-29,176
2015-01-30,160
2015-01-31,181
2015-02-01,143
2015-02-02,105
2015-02-03,126
2015-02-04,66
2015-02-05,290
2015-02-06,172
2015-02-07,166
2015-02-08,194
2015-02-09,40
2015-02-10,137
2015-02-11,68
2015-02-12,428
2015-02-13,207
2015-02-14,460
2015-02-15,302
2015-02-16,227
2015-02-17,325
2015-02-18,180
2015-02-19,212
2015-02-20,215
2015-02-21,241
2015-02-22,157
2015-02-23,135
2015-02-24,163
2015-02-25,115
2015-02-26,203
2015-02-27,86
2015-02-28,109
2015-03-01,70
2015-03-02,169
2015-03-03,185
2015-03-04,244
2015-03-05,270
2015-03-06,168
2015-03-07,161
2015-03-08,111
2015-03-09,193
2015-03-10,200
2015-03-11,295
2015-03-12,376
2015-03-13,262
2015-03-14,261
2015-03-15,221
2015-03-16,327
2015-03-17,223
2015-03-18,262
2015-03-19,455
2015-03-20,215
2015-03-21,233
2015-03-22,214
2015-03-23,232
2015-03-24,301
2015-03-25,378
2015-03-26,373
2015-03-27,351
2015-03-28,255
2015-03-29,369
2015-03-30,194
2015-03-31,381
2015-04-01,151
2015-04-02,305
2015-04-03,375
2015-04-04,113
2015-04-05,289
2015-04-06,171
2015-04-07,420
2015-04-08,300
2015-04-09,404
2015-04-10,287
2015-04-11,190
2015-04-12,286
2015-04-13,197
2015-04-14,191
2015-04-15,406
2015-04-16,404
2015-04-17,303
2015-04-18,264
2015-04-19,184
2015-04-20,368
2015-04-21,261
2015-04-22,436
2015-04-23,385
2015-04-24,357
2015-04-25,251
2015-04-26,296
2015-04-27,270
2015-04-28,322
2015-04-29,205
2015-04-30,276
2015-05-01,416
2015-05-02,275
2015-05-03,324
2015-05-04,186
2015-05-05,208
2015-05-06,292
2015-05-07,396
2015-05-08,301
2015-05-09,323
2015-05-10,322
2015-05-11,240
2015-05-12,266
2015-05-13,339
2015-05-14,387
2015-05-15,362
2015-05-16,322
2015-05-17,239
2015-05-18,246
2015-05-19,307
2015-05-20,361
2015-05-21,472
2015-05-22,521
2015-05-23,295
2015-05-24,384
2015-05-25,241
2015-05-26,284
2015-05-27,361
2015-05-28,422
2015-05-29,337
2015-05-30,270
2015-05-31,252
2015-06-01,179
2015-06-02,256
2015-06-03,271
2015-06-04,360
2015-06-05,353
2015-06-06,279
2015-06-07,184
2015-06-08,192
2015-06-09,268
2015-06-10,196
2015-06-11,512
2015-06-12,199
2015-06-13,288
2015-06-14,240
2015-06-15,160
2015-06-16,225
2015-06-17,78
2015-06-18,217
2015-06-19,341
2015-06-20,83
2015-06-21,273
2015-06-22,149
2015-06-23,207
2015-06-24,104
2015-06-25,354
2015-06-26,197
2015-06-27,159
2015-06-28,277
2015-06-29,112
2015-06-30,215
2015-07-01,122
2015-07-02,250
2015-07-03,177
2015-07-04,230
2015-07-05,208
2015-07-06,190
2015-07-07,232
2015-07-08,135
2015-07-09,371
2015-07-10,253
2015-07-11,390
2015-07-12,130
2015-07-13,167
2015-07-14,189
2015-07-15,113
2015-07-16,278
2015-07-17,417
2015-07-18,431
2015-07-19,348
2015-07-20,264
2015-07-21,410
2015-07-22,266
2015-07-23,501
2015-07-24,366
2015-07-25,501
2015-07-26,229
2015-07-27,240
2015-07-28,372
2015-07-29,287
2015-07-30,338
2015-07-31,405
2015-08-01,481
2015-08-02,276
2015-08-03,175
2015-08-04,380
2015-08-05,186
2015-08-06,411
2015-08-07,292
2015-08-08,333
2015-08-09,253
2015-08-10,151
2015-08-11,267
2015-08-12,181
2015-08-13,266
2015-08-14,317
2015-08-15,311
2015-08-16,239
2015-08-17,159
2015-08-18,310
2015-08-19,204
2015-08-20,224
2015-08-21,324
2015-08-22,304
2015-08-23,232
2015-08-24,196
2015-08-25,288
2015-08-26,191
2015-08-27,269
2015-08-28,290
2015-08-29,190
2015-08-30,306
2015-08-31,254
2015-09-01,299
2015-09-02,143
2015-09-03,277
2015-09-04,329
2015-09-05,274
2015-09-06,279
2015-09-07,203
2015-09-08,257
2015-09-09,241
2015-09-10,245
2015-09-11,175
2015-09-12,252
2015-09-13,167
2015-09-14,189
2015-09-15,188
2015-09-16,37
2015-09-17,213
2015-09-18,107
2015-09-19,99
2015-09-20,129
2015-09-21,109
2015-09-22,165
2015-09-23,131
2015-09-24,293
2015-09-25,319
2015-09-26,355
2015-09-27,172
2015-09-28,144
2015-09-29,236
2015-09-30,135
2015-10-01,385
2015-10-02,355
2015-10-03,382
2015-10-04,324
2015-10-05,162
2015-10-06,275
2015-10-07,186
2015-10-08,336
2015-10-09,320
2015-10-10,204
2015-10-11,263
2015-10-12,188
2015-10-13,219
2015-10-14,145
2015-10-15,309
2015-10-16,214
2015-10-17,271
2015-10-18,168
2015-10-19,278
2015-10-20,251
2015-10-21,72
2015-10-22,344
2015-10-23,133
2015-10-24,197
2015-10-25,80
2015-10-26,124
2015-10-27,333
2015-10-28,207
2015-10-29,150
2015-10-30,194
2015-10-31,131
2015-11-01,208
2015-11-02,178
2015-11-03,257
2015-11-04,174
2015-11-05,175
2015-11-06,184
2015-11-07,163
2015-11-08,132
2015-11-09,108
2015-11-10,346
2015-11-11,93
2015-11-12,90
2015-11-13,256
2015-11-14,191
2015-11-15,108
2015-11-16,112
2015-11-17,191
2015-11-18,205
2015-11-19,119
2015-11-20,158
2015-11-21,196
2015-11-22,192
2015-11-23,58
2015-11-24,121
2015-11-25,120
2015-11-26,136
2015-11-27,117
2015-11-28,63
2015-11-29,139
2015-11-30,32
2015-12-01,179
2015-12-02,12
2015-12-03,155
2015-12-04,18
2015-12-05,140
2015-12-06,119
2015-12-07,26
2015-12-08,163
2015-12-09,26
2015-12-10,185
2015-12-11,53
2015-12-12,148
2015-12-13,83
2015-12-14,28
2015-12-15,94
2015-12-16,136
2015-12-17,74
2015-12-18,205
2015-12-19,245
2015-12-20,97
2015-12-21,101
2015-12-22,148
2015-12-23,127
2015-12-24,330
2015-12-25,275
2015-12-26,201
2015-12-27,235
2015-12-28,81
2015-12-29,94
2015-12-30,141
2015-12-31,210
2016-01-01,214
2016-01-02,188
2016-01-03,128
2016-01-04,125
2016-01-05,271
2016-01-06,191
2016-01-07,220
2016-01-08,243
2016-01-09,182
2016-01-10,193
2016-01-11,194
2016-01-12,228
2016-01-13,214
2016-01-14,172
2016-01-15,238
2016-01-16,304
2016-01-17,223
2016-01-18,156
2016-01-19,163
2016-01-20,242
2016-01-21,128
2016-01-22,352
2016-01-23,301
2016-01-24,44
2016-01-25,154
2016-01-26,108
2016-01-27,157
2016-01-28,70
2016-01-29,113
2016-01-30,108
2016-01-31,57
2016-02-01,32
2016-02-02,179
2016-02-03,180
2016-02-04,147
2016-02-05,214
2016-02-06,310
2016-02-07,266
2016-02-08,142
2016-02-09,136
2016-02-10,222
2016-02-11,65
2016-02-12,308
2016-02-13,248
2016-02-14,156
2016-02-15,89
2016-02-16,262
2016-02-17,158
2016-02-18,284
2016-02-19,329
2016-02-20,182
2016-02-21,185
2016-02-22,88
2016-02-23,307
2016-02-24,67
2016-02-25,161
2016-02-26,229
2016-02-27,120
2016-02-28,215
2016-02-29,107
2016-03-01,247
2016-03-02,118
2016-03-03,298
2016-03-04,131
2016-03-05,118
2016-03-06,137
2016-03-07,123
2016-03-08,267
2016-03-09,194
2016-03-10,326
2016-03-11,175
2016-03-12,239
2016-03-13,177
2016-03-14,215
2016-03-15,266
2016-03-16,269
2016-03-17,340
2016-03-18,271
2016-03-19,202
2016-03-20,176
2016-03-21,150
2016-03-22,210
2016-03-23,251
2016-03-24,223
2016-03-25,327
2016-03-26,195
2016-03-27,195
2016-03-28,252
2016-03-29,388
2016-03-30,328
2016-03-31,461
2016-04-01,274
2016-04-02,118
2016-04-03,112
2016-04-04,222
2016-04-05,234
2016-04-06,200
2016-04-07,243
2016-04-08,414
2016-04-09,310
2016-04-10,186
2016-04-11,399
2016-04-12,413
2016-04-13,376
2016-04-14,266
2016-04-15,395
2016-04-16,326
2016-04-17,102
2016-04-18,207
2016-04-19,323
2016-04-20,195
2016-04-21,357
2016-04-22,407
2016-04-23,253
2016-04-24,190
2016-04-25,300
2016-04-26,266
2016-04-27,308
2016-04-28,676
2016-04-29,419
2016-04-30,262
2016-05-01,277
2016-05-02,199
2016-05-03,196
2016-05-04,142
2016-05-05,276
2016-05-06,424
2016-05-07,55
2016-05-08,176
2016-05-09,298
2016-05-10,214
2016-05-11,300
2016-05-12,441
2016-05-13,507
2016-05-14,377
2016-05-15,299
2016-05-16,271
2016-05-17,339
2016-05-18,394
2016-05-19,307
2016-05-20,343
2016-05-21,238
2016-05-22,143
2016-05-23,293
2016-05-24,253
2016-05-25,279
2016-05-26,392
2016-05-27,427
2016-05-28,336
2016-05-29,264
2016-05-30,211
2016-05-31,331
2016-06-01,357
2016-06-02,429
2016-06-03,470
2016-06-04,370
2016-06-05,243
2016-06-06,297
2016-06-07,291
2016-06-08,222
2016-06-09,448
2016-06-10,374
2016-06-11,142
2016-06-12,238
2016-06-13,225
2016-06-14,301
2016-06-15,298
2016-06-16,343
2016-06-17,302
2016-06-18,211
2016-06-19,199
2016-06-20,259
2016-06-21,339
2016-06-22,257
2016-06-23,274
2016-06-24,319
2016-06-25,201
2016-06-26,304
2016-06-27,193
2016-06-28,268
2016-06-29,248
2016-06-30,330
2016-07-01,402
2016-07-02,233
2016-07-03,282
2016-07-04,149
2016-07-05,225
2016-07-06,222
2016-07-07,252
2016-07-08,429
2016-07-09,314
2016-07-10,160
2016-07-11,194
2016-07-12,251
2016-07-13,311
2016-07-14,235
2016-07-15,401
2016-07-16,225
2016-07-17,233
2016-07-18,129
2016-07-19,312
2016-07-20,216
2016-07-21,436
2016-07-22,546
2016-07-23,341
2016-07-24,446
2016-07-25,240
2016-07-26,336
2016-07-27,293
2016-07-28,387
2016-07-29,506
2016-07-30,356
2016-07-31,365
2016-08-01,279
2016-08-02,262
2016-08-03,227
2016-08-04,353
2016-08-05,356
2016-08-06,250
2016-08-07,261
2016-08-08,190
2016-08-09,290
2016-08-10,237
2016-08-11,223
2016-08-12,393
2016-08-13,240
2016-08-14,271
2016-08-15,175
2016-08-16,172
2016-08-17,136
2016-08-18,220
2016-08-19,282
2016-08-20,269
2016-08-21,216
2016-08-22,198
2016-08-23,261
2016-08-24,288
2016-08-25,251
2016-08-26,296
2016-08-27,226
2016-08-28,264
2016-08-29,230
2016-08-30,167
2016-08-31,180
2016-09-01,165
2016-09-02,232
2016-09-03,129
2016-09-04,112
2016-09-05,100
2016-09-06,125
2016-09-07,298
2016-09-08,396
2016-09-09,449
2016-09-10,415
2016-09-11,300
2016-09-12,172
2016-09-13,235
2016-09-14,178
2016-09-15,222
2016-09-16,239
2016-09-17,158
2016-09-18,112
2016-09-19,141
2016-09-20,273
2016-09-21,279
2016-09-22,221
2016-09-23,312
2016-09-24,215
2016-09-25,142
2016-09-26,330
2016-09-27,288
2016-09-28,246
2016-09-29,351
2016-09-30,302
2016-10-01,318
2016-10-02,204
2016-10-03,148
2016-10-04,145
2016-10-05,226
2016-10-06,332
2016-10-07,373
2016-10-08,193
2016-10-09,82
2016-10-10,234
2016-10-11,272
2016-10-12,189
2016-10-13,263
2016-10-14,367
2016-10-15,148
2016-10-16,205
2016-10-17,152
2016-10-18,415
2016-10-19,303
2016-10-20,254
2016-10-21,206
2016-10-22,169
2016-10-23,114
2016-10-24,123
2016-10-25,211
2016-10-26,199
2016-10-27,167
2016-10-28,269
2016-10-29,108
2016-10-30,164
2016-10-31,198
2016-11-01,162
2016-11-02,338
2016-11-03,124
2016-11-04,312
2016-11-05,216
2016-11-06,66
2016-11-07,199
2016-11-08,242
2016-11-09,174
2016-11-10,165
2016-11-11,197
2016-11-12,199
2016-11-13,96
2016-11-14,173
2016-11-15,217
2016-11-16,207
2016-11-17,144
2016-11-18,143
2016-11-19,147
2016-11-20,73
2016-11-21,158
2016-11-22,188
2016-11-23,129
2016-11-24,182
2016-11-25,214
