datetime,count
2019-01-01,183
2019-01-02,246
2019-01-03,188
2019-01-04,263
2019-01-05,231
2019-01-06,245
2019-01-07,256
2019-01-08,224
2019-01-09,245
2019-01-10,207
2019-01-11,264
2019-01-12,243
2019-01-13,232
2019-01-14,252
2019-01-15,192
2019-01-16,274
2019-01-17,222
2019-01-18,235
2019-01-19,245
2019-01-20,237
2019-01-21,272
2019-01-22,231
2019-01-23,254
2019-01-24,198
2019-01-25,187
2019-01-26,248
2019-01-27,241
2019-01-28,253
2019-01-29,196
2019-01-30,273
2019-01-31,343
2019-02-01,346
2019-02-02,334
2019-02-03,270
2019-02-04,259
2019-02-05,165
2019-02-06,281
2019-02-07,199
2019-02-08,188
2019-02-09,198
2019-02-10,152
2019-02-11,238
2019-02-12,250
2019-02-13,280
2019-02-14,229
2019-02-15,245
2019-02-16,214
2019-02-17,162
2019-02-18,253
2019-02-19,229
2019-02-20,264
2019-02-21,226
2019-02-22,212
2019-02-23,237
2019-02-24,187
2019-02-25,231
2019-02-26,214
2019-02-27,258
2019-02-28,221
2019-03-01,201
2019-03-02,227
2019-03-03,200
2019-03-04,236
2019-03-05,234
2019-03-06,282
2019-03-07,268
2019-03-08,222
2019-03-09,239
2019-03-10,198
2019-03-11,207
2019-03-12,276
2019-03-13,283
2019-03-14,267
2019-03-15,299
2019-03-16,257
2019-03-17,216
2019-03-18,311
2019-03-19,289
2019-03-20,347
2019-03-21,281
2019-03-22,280
2019-03-23,252
2019-03-24,244
2019-03-25,284
2019-03-26,288
2019-03-27,345
2019-03-28,287
2019-03-29,296
2019-03-30,299
2019-03-31,260
2019-04-01,384
2019-04-02,343
2019-04-03,457
2019-04-04,390
2019-04-05,334
2019-04-06,342
2019-04-07,288
2019-04-08,297
2019-04-09,328
2019-04-10,392
2019-04-11,388
2019-04-12,368
2019-04-13,368
2019-04-14,266
2019-04-15,289
2019-04-16,347
2019-04-17,510
2019-04-18,336
2019-04-19,413
2019-04-20,421
2019-04-21,336
2019-04-22,412
2019-04-23,519
2019-04-24,468
2019-04-25,388
2019-04-26,401
2019-04-27,454
2019-04-28,413
2019-04-29,427
2019-04-30,405
2019-05-01,424
2019-05-02,507
2019-05-03,453
2019-05-04,380
2019-05-05,313
2019-05-06,301
2019-05-07,419
2019-05-08,461
2019-05-09,413
2019-05-10,425
2019-05-11,412
2019-05-12,315
2019-05-13,270
2019-05-14,434
2019-05-15,426
2019-05-16,389
2019-05-17,440
2019-05-18,445
2019-05-19,308
2019-05-20,263
2019-05-21,533
2019-05-22,400
2019-05-23,424
2019-05-24,398
2019-05-25,373
2019-05-26,310
2019-05-27,296
2019-05-28,417
2019-05-29,436
2019-05-30,417
2019-05-31,412
2019-06-01,344
2019-06-02,318
2019-06-03,254
2019-06-04,360
2019-06-05,334
2019-06-06,389
2019-06-07,349
2019-06-08,367
2019-06-09,310
2019-06-10,235
2019-06-11,400
2019-06-12,324
2019-06-13,387
2019-06-14,343
2019-06-15,377
2019-06-16,310
2019-06-17,239
2019-06-18,354
2019-06-19,268
2019-06-20,242
2019-06-21,333
2019-06-22,294
2019-06-23,272
2019-06-24,194
2019-06-25,264
2019-06-26,303
2019-06-27,230
2019-06-28,306
2019-06-29,293
2019-06-30,226
2019-07-01,226
2019-07-02,308
2019-07-03,271
2019-07-04,328
2019-07-05,217
2019-07-06,357
2019-07-07,235
2019-07-08,191
2019-07-09,307
2019-07-10,233
2019-07-11,289
2019-07-12,328
2019-07-13,402
2019-07-14,268
2019-07-15,210
2019-07-16,318
2019-07-17,225
2019-07-18,313
2019-07-19,362
2019-07-20,418
2019-07-21,357
2019-07-22,243
2019-07-23,367
2019-07-24,327
2019-07-25,360
2019-07-26,369
2019-07-27,466
2019-07-28,386
2019-07-29,254
2019-07-30,383
2019-07-31,305
2019-08-01,387
2019-08-02,377
2019-08-03,439
2019-08-04,370
2019-08-05,245
2019-08-06,360
2019-08-07,318
2019-08-08,311
2019-08-09,381
2019-08-10,418
2019-08-11,311
2019-08-12,182
2019-08-13,339
2019-08-14,278
2019-08-15,329
2019-08-16,346
2019-08-17,339
2019-08-18,281
2019-08-19,224
2019-08-20,348
2019-08-21,284
2019-08-22,270
2019-08-23,322
2019-08-24,350
2019-08-25,250
2019-08-26,198
2019-08-27,284
2019-08-28,257
2019-08-29,239
2019-08-30,277
2019-08-31,369
2019-09-01,214
2019-09-02,196
2019-09-03,309
2019-09-04,245
2019-09-05,311
2019-09-06,387
2019-09-07,344
2019-09-08,290
2019-09-09,235
2019-09-10,259
2019-09-11,276
2019-09-12,294
2019-09-13,212
2019-09-14,288
2019-09-15,183
2019-09-16,172
2019-09-17,268
2019-09-18,255
2019-09-19,280
2019-09-20,275
2019-09-21,330
2019-09-22,221
2019-09-23,178
2019-09-24,328
2019-09-25,245
2019-09-26,281
2019-09-27,283
2019-09-28,330
2019-09-29,247
2019-09-30,215
2019-10-01,341
2019-10-02,247
2019-10-03,323
2019-10-04,276
2019-10-05,340
2019-10-06,248
2019-10-07,193
2019-10-08,363
2019-10-09,316
2019-10-10,250
2019-10-11,280
2019-10-12,331
2019-10-13,220
2019-10-14,185
2019-10-15,284
2019-10-16,257
2019-10-17,238
2019-10-18,201
2019-10-19,270
2019-10-20,228
2019-10-21,227
2019-10-22,303
2019-10-23,263
2019-10-24,210
2019-10-25,190
2019-10-26,300
2019-10-27,176
2019-10-28,233
2019-10-29,255
2019-10-30,265
