datetime,정답,예측
2019-01-01,147,148
2019-01-02,284,265
2019-01-03,238,182
2019-01-04,222,203
2019-01-05,231,193
2019-01-06,302,259
2019-01-07,218,177
2019-01-08,261,191
2019-01-09,324,180
2019-01-10,278,194
2019-01-11,474,319
2019-01-12,254,169
2019-01-13,440,283
2019-01-14,233,181
2019-01-15,324,184
2019-01-16,474,348
2019-01-17,225,147
2019-01-18,469,347
2019-01-19,364,276
2019-01-20,391,226
2019-01-21,314,168
2019-01-22,269,215
2019-01-23,239,204
2019-01-24,138,111
2019-01-25,264,184
2019-01-26,160,122
2019-01-27,203,176
2019-01-28,276,243
2019-01-29,332,199
2019-01-30,502,356
2019-01-31,383,273
2019-02-01,493,397
2019-02-02,425,385
2019-02-03,275,159
2019-02-04,267,242
2019-02-05,142,146
2019-02-06,362,272
2019-02-07,207,140
2019-02-08,318,221
2019-02-09,275,181
2019-02-10,216,168
2019-02-11,226,187
2019-02-12,198,158
2019-02-13,204,215
2019-02-14,214,139
2019-02-15,403,272
2019-02-16,352,193
2019-02-17,290,183
2019-02-18,244,183
2019-02-19,260,191
2019-02-20,249,246
2019-02-21,223,194
2019-02-22,263,220
2019-02-23,213,167
2019-02-24,297,229
2019-02-25,174,153
2019-02-26,200,149
2019-02-27,191,216
2019-02-28,253,149
2019-03-01,318,207
2019-03-02,186,167
2019-03-03,161,140
2019-03-04,212,152
2019-03-05,229,181
2019-03-06,311,281
2019-03-07,267,169
2019-03-08,375,272
2019-03-09,190,165
2019-03-10,343,261
2019-03-11,204,184
2019-03-12,488,241
2019-03-13,315,332
2019-03-14,311,170
2019-03-15,456,300
2019-03-16,338,296
2019-03-17,249,156
2019-03-18,343,346
2019-03-19,232,196
2019-03-20,267,322
2019-03-21,350,216
2019-03-22,473,342
2019-03-23,258,222
2019-03-24,334,284
2019-03-25,221,215
2019-03-26,308,177
2019-03-27,518,377
2019-03-28,289,171
2019-03-29,590,355
2019-03-30,307,268
2019-03-31,401,289
2019-04-01,209,238
2019-04-02,401,256
2019-04-03,357,348
2019-04-04,428,326
2019-04-05,424,307
2019-04-06,173,215
2019-04-07,250,199
2019-04-08,237,328
2019-04-09,405,281
2019-04-10,444,367
2019-04-11,354,221
2019-04-12,507,427
2019-04-13,279,236
2019-04-14,409,291
2019-04-15,205,219
2019-04-16,379,279
2019-04-17,415,329
2019-04-18,420,315
2019-04-19,473,396
2019-04-20,457,430
2019-04-21,283,254
2019-04-22,270,277
